source,target,weight,color,group
The Civic Partnership,Alan Griffin,1,#9b5de5,Lobbyist
The Civic Partnership,Jason Aldworth,1,#9b5de5,Lobbyist
The Civic Partnership,Leon Beswick,1,#9b5de5,Lobbyist
The Civic Partnership,Lucy Kozlowski,1,#9b5de5,Lobbyist
The Civic Partnership,Timothy Cook,1,#9b5de5,Lobbyist
The Fifth Estate,William  Hurditch,1,#9b5de5,Lobbyist
The Inner Circle Strategic Advisory,Karly Abbott,1,#9b5de5,Lobbyist
The Inner Circle Strategic Advisory,Kathleen Quinn,1,#9b5de5,Lobbyist
The PR Counsel Pty Ltd,Kristy McSweeney,1,#9b5de5,Lobbyist
The Premier Communications Group,Richard Lenarduzzi,1,#9b5de5,Lobbyist
The Strand 365 PTY LTD,Matthew Peel,1,#9b5de5,Lobbyist
The Write Connection,Alexandra Kennedy ,1,#9b5de5,Lobbyist
Tony Charters and Associates,Anthony Charters,1,#9b5de5,Lobbyist
Trojan Corporate,Narelle Davidson,1,#9b5de5,Lobbyist
Unravelling Red Tape Pty Ltd,Elaine Abery,1,#9b5de5,Lobbyist
WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS,Benjamin Haslem,1,#9b5de5,Lobbyist
Walsh Stevens,Matt Stevens,1,#9b5de5,Lobbyist
Watt Advocacy & Communications,Kel Watt,1,#9b5de5,Lobbyist
Watt Advocacy & Communications,Louise Yabsley,1,#9b5de5,Lobbyist
Wilkinson Butler,Andrew Butler,1,#9b5de5,Lobbyist
Wilkinson Butler,Mark Abernethy,1,#9b5de5,Lobbyist
Wilkinson Butler,Nick Albrow,1,#9b5de5,Lobbyist
Wilkinson Butler,Peter Wilkinson,1,#9b5de5,Lobbyist
Wilkinson Butler,Stephen Mesa,1,#9b5de5,Lobbyist
Willard Public Affairs Pty Ltd,Andrew Plumley,1,#9b5de5,Lobbyist
Willard Public Affairs Pty Ltd,David Miles,1,#9b5de5,Lobbyist
Willard Public Affairs Pty Ltd,Matthew Moran,1,#9b5de5,Lobbyist
Woodhill Communication Pty Ltd,Stephen Woodhill,1,#9b5de5,Lobbyist
advico,Nino Lalic,1,#9b5de5,Lobbyist
culturev8,Christopher McLaughlin,1,#9b5de5,Lobbyist
Adams + Sparkes Town Planning and Development,W & M Carnall Pty Ltd ,1,#fee440,Client
Advisory Street Pty Ltd,MyState,1,#fee440,Client
Alistair Nicholas Consulting Pty Ltd,Australian Funeral Directors Association,1,#fee440,Client
Alistair Nicholas Consulting Pty Ltd,InvoCare Australia,1,#fee440,Client
Anacta Strategies Pty Ltd,Airbnb,1,#fee440,Client
Anacta Strategies Pty Ltd,Australian Country Choice Holdings Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Callaghan Road Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Court Network Inc.,1,#fee440,Client
Anacta Strategies Pty Ltd,Davidson,1,#fee440,Client
Anacta Strategies Pty Ltd,Devine Property Group Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Dexus Funds Management Limited,1,#fee440,Client
Anacta Strategies Pty Ltd,Diatreme Resources,1,#fee440,Client
Anacta Strategies Pty Ltd,Downer Group,1,#fee440,Client
Anacta Strategies Pty Ltd,Fluent Property Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Football Queensland,1,#fee440,Client
Anacta Strategies Pty Ltd,Gailes Golf Club,1,#fee440,Client
Anacta Strategies Pty Ltd,Gondwana Testing Technology Circuits Queensland,1,#fee440,Client
Anacta Strategies Pty Ltd,Granite Belt Water Limited,1,#fee440,Client
Anacta Strategies Pty Ltd,Gravitytech Group,1,#fee440,Client
Anacta Strategies Pty Ltd,Huntsman Property Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Hyundai Rotem Company,1,#fee440,Client
