source,target,Weight,source type,target type,source color,target color
Nexus APAC Pty Ltd,Nick Campbell,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Nexus APAC Pty Ltd,Riley Campbell,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Northstar Public Affairs Pty Ltd,Michael Morgan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Nuvho Pty Ltd,Jude Bolger,2,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Dominique Brownrigg,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Edward Schiller,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Emily Ditchburn,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Emma Nunan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Fiona Sinclair,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Gabriela Czwarnos,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Isabel Anderson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Melissa Devine,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Peta Lange,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Ogilvy PR Agency Pty Limited,Rachel Stanton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Open Door Consulting,Andrew Soter,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Outcomes & Strategies Group,Robert (Bob) Baldwin,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Adam Howard,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Andrew Joyce,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Anthony Hodges,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Christopher Pyne,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Jack de Hennin,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Kacey Lam,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Tamika Dartnell-Moore,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PYNE AND PARTNERS,Will Redmond,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PolicyWonks,Kirby Anderson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Porter Novelli Australia Pty Ltd,Arjun Ganeshalingam,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Porter Novelli Australia Pty Ltd,Patrick McClelland,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Porter Novelli Australia Pty Ltd,Rhys Ryan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Precise Hospitality Licensing,Maycon Collares Gripp,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Preferment Associates,John Lake,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
