Client Name,Lobbyist,ABN
One Project Management Group,Jutsum Advisory Pty Ltd,68 973 583 422
One Park Lane Developments Pty Ltd,Jutsum Advisory Pty Ltd,68 973 583 422
NT Pubco Pty Ltd,MB Liquor Licensing,52 651 224 609
Outdoor Media Association,Spring Street Advisory,92 603 411 650
Novartis,Ogilvy PR Agency Pty Limited,89 096 965 794
Omega Oil and Gas Limited,SAS Group,33 136 520 548
NORTHWEST HEALTHCARE PROPERTIES MANAGEMENT PTY LIMITED,GRACosway Pty Ltd,50 082 123 822
Officeworks,SEC Newgate,38162366056
Northern Queensland PHN,The Inner Circle Strategic Advisory,75634265311
Pacific Energy Group,PolicyWonks,50 463 070 316
North Harbour Holdings Pty Ltd,Empower Pty Ltd,33633821366
NIOA,PolicyWonks,50 463 070 316
Nexport Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Newcastle Airport,DPG Advisory Solutions Pty Ltd,14 634 403 115
Northrop Grumman International,CMAX Advisory,73 130 740 546
New Gympie Gold,Next Level Strategic Services,27 613 857 668
Northern Investment Holdings Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Nufarm Australia,CMAX Advisory,73 130 740 546
Novavax Inc,Nexus APAC Pty Ltd,76 615 655 699
Nestle Australia,Wilkinson Butler,95164204111
Novapharm,Next Level Strategic Services,27 613 857 668
Nerang RSL,Promedia Public Relations,52 010 453 826
NEP Broadcast Services,Next Level Strategic Services,27 613 857 668
Neoen,Next Level Strategic Services,27 613 857 668
NATIONAL ROAD TRANSPORT ASSOCIATION LIMITED,Primary Communication,36617864347
National Retail Association ,TG Public Affairs,23630677673
Oasis Catering Pty Ltd,Commercial Licensing Specialists,33 134 318 595
National Electrical and Communications Association,Wilkinson Butler,95164204111
National Automotive Leasing & Salary Packaging Association,Profile Consulting (Aust) Pty Ltd,47 166 122 434
National Association of Cinema Operators,PremierNational,71 619 450 841
New Hope Group,Momentum Strategic Communication Services,66 196 172 628
Neuron Mobility (Australia) Pty Ltd,PremierNational,71 619 450 841
Network Building Solutions,Cornerstone Group,9915 3936 719
Myotherapy Association Australia,Unravelling Red Tape Pty Ltd,69 626 524 178
My Plan Manager,TG Public Affairs,23630677673
MY MGT Pty Ltd,Australian Strategic Advisory,51623355377
My Bella Casa,Jutsum Advisory Pty Ltd,68 973 583 422
National Affordable Housing Providers Ltd,Jacaranda Advisory,41 673 550 487
Murweh Shire Council,Taylor Connect,39 632 234 916
Murdoch University,TG Public Affairs,23630677673
MQV Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Moreton Bay Trailer Boat Club Inc,Jacaranda Advisory,41 673 550 487
MoonStake Pty Ltd,Precise Hospitality Licensing,46220117164
New Century Resources Limited,SAS Group,33 136 520 548
Moondaze Pty Ltd ,Liquor Licensing Consultants,58 679 042 968
