Lobbyist Name,Lobbying Firm,ABN,Position
Nicola McAlpine,Res Publica Pty Ltd,63 103 178 258,Director
Ken McAlpine,Spring Street Advisory,92 603 411 650,Managing Director
Patrick McClelland,Porter Novelli Australia Pty Ltd,40079616050,Communications Consultant
Jondayah Martin,Promedia Public Relations,52 010 453 826,Account Manager
Tim McPhail,TJM Public Affairs,87 549 086 100,Principal
Jason Marocchi,GRA Partners Pty Limited,56 131 702 755,Managing Partner
Daniel McDougall,Daniel McDougall,22 535 615 464,Communications Consultant
Wayne Matthew,GR Solutions,28 125 233 543,Director
Shannan Manton,Richardson Coutts Pty Ltd,20 126 507 211,Office Manager
Lyndal Maloney,GR Connect Pty Ltd,40 657 487 146,Director
Grace Marsh,CMAX Advisory,73 130 740 546,Government Relations Adviser
Peter Mahon,Royce Comm,91 167 042 408,CEO
Michael Lyell,Adams + Sparkes Town Planning and Development,39 290 334 500,Town Planner
Emma Ramage,Hawker Britton,79 109 681 405,Director
Alexandra Longinidis,PYNE AND PARTNERS,81 634 747 363,Associate
Richard Lenarduzzi,The Premier Communications Group,7313 750 8555,Director
Peta Lange,Ogilvy PR Agency Pty Limited,89 096 965 794,Head of Public Affairs
Kacey Lam,PYNE AND PARTNERS,81 634 747 363,Partner
Kacey Lam,GC Advisory,60 628 010 855,Senior Associate
Nino Lalic,advico,52658982471,Director
Claire March,Counsel House Pty Ltd,35 631 919 009,Managing Director
John Lake,Preferment Associates,30432308596,Director
Lucy Kozlowski,The Civic Partnership,71652574171,Associate Partner
Candice Komsellis,DNS Specialist Services,84 627 756 709,Director
Gemma Kivell,DNS Specialist Services,84 627 756 709,Business Consultant
Allan King,Allan King Consultancy,16007797793,Director
Richard  King ,GRACosway Pty Ltd,50 082 123 822,Consultant
Stephen Mesa,Wilkinson Butler,95164204111,Senior Account Manager
Adam Kilgour,Diplomacy,17148998645,Managing Director
Alexandra Kennedy ,The Write Connection,55 073 965 616,Director
Damian Kelly,Australian Public Affairs,20 098 705 403,Senior Consultant
Elizabeth Kelleher-Cook,Australian Public Affairs,20 098 705 403,Senior Consultant
Matthew Jutsum,Jutsum Advisory Pty Ltd,68 973 583 422,Director
